phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,val_RMSE_B_m,val_RMSE_C_m,val_MAE_C_m
2,bias_sub,huber,1.0,1.55,24.0,1.35,2.2,2,1.7034475188731815,1.6703353430033516,1.3156414507928842
2,bias_sub,huber,1.0,1.55,24.0,1.35,3.1,2,1.7034475188731815,1.6639370109033713,1.2865153760924752
2,bias_sub,huber,1.0,1.9,10.0,1.0,2.2,2,1.508670109690709,1.5331993954045835,1.2624213721012123
2,bias_sub,huber,1.0,1.9,10.0,1.0,3.1,2,1.508670109690709,1.5193646526562454,1.2478184896940412
2,bias_sub,huber,1.0,1.9,10.0,1.35,2.2,2,1.6971524347296614,1.6891461664300504,1.3256257148854163
2,bias_sub,huber,1.0,1.9,10.0,1.35,3.1,2,1.6971524347296614,1.6786721409344587,1.2927286891717802
2,bias_sub,huber,1.0,1.9,24.0,1.0,2.2,2,1.8679688911036658,1.8766176320940116,1.40126881367493
2,bias_sub,huber,1.0,1.9,24.0,1.0,3.1,2,1.8679688911036658,1.8703708584239673,1.3892690867963684
2,bias_sub,huber,1.0,1.9,24.0,1.35,2.2,2,1.8796262660826182,1.8714120288101732,1.402560138198735
2,bias_sub,huber,1.0,1.9,24.0,1.35,3.1,2,1.8796262660826182,1.8585459831428452,1.3696729303874247
2,bias_sub,huber,1.0,2.35,10.0,1.0,2.2,2,1.5399976736919756,1.564470037183693,1.2911626421852156
2,bias_sub,huber,1.0,2.35,10.0,1.0,3.1,2,1.5399976736919756,1.5481557549350964,1.2744320410572012
2,bias_sub,huber,1.0,2.35,10.0,1.35,2.2,2,1.6966855247858812,1.6795737372145985,1.3252709892077257
2,bias_sub,huber,1.0,2.35,10.0,1.35,3.1,2,1.6966855247858812,1.680845621910849,1.309533481090212
2,bias_sub,huber,1.0,2.35,24.0,1.0,2.2,2,1.843228375469491,1.869118839288241,1.4069812994983346
2,bias_sub,huber,1.0,2.35,24.0,1.0,3.1,2,1.843228375469491,1.8436868844409708,1.371576644502075
2,bias_sub,huber,1.0,2.35,24.0,1.35,2.2,2,1.8919859736573286,1.8741080753132544,1.400226543418208
2,bias_sub,huber,1.0,2.35,24.0,1.35,3.1,2,1.8919859736573286,1.8729703727251588,1.385233765076399
2,bias_sub,huber,1.0,2.95,10.0,1.0,2.2,2,1.5788724562288867,1.618478070609179,1.345123426408487
2,bias_sub,huber,1.0,2.95,10.0,1.0,3.1,2,1.5788724562288867,1.5949871927100638,1.3226544490462362
2,bias_sub,huber,1.0,2.95,10.0,1.35,2.2,2,1.736187969288212,1.7320858042357439,1.3823191688378649
2,bias_sub,huber,1.0,2.95,10.0,1.35,3.1,2,1.736187969288212,1.7259020375978318,1.360097973656504
2,bias_sub,huber,1.0,2.95,24.0,1.0,2.2,2,1.8673890648710123,1.902723347607157,1.4471032755440836
2,bias_sub,huber,1.0,2.95,24.0,1.0,3.1,2,1.8673890648710123,1.8736418082585866,1.4077165577138733
2,bias_sub,huber,1.0,2.95,24.0,1.35,2.2,2,1.9124262107751697,1.9064453694642707,1.442083182815455
2,bias_sub,huber,1.0,2.95,24.0,1.35,3.1,2,1.9124262107751697,1.8989357836238774,1.4200641649423469
