Node_x,Node_y,n,mean_delta,median_delta
2,6,1,-0.0064017449733537735,-0.0064017449733537735
19,20,1,-0.005524371180134935,-0.005524371180134935
7,25,2,-0.005507710174583957,-0.005507710174583957
16,20,2,-0.005275920300162162,-0.005275920300162162
4,24,1,-0.0050851780400802404,-0.0050851780400802404
6,12,1,-0.00505085049748466,-0.00505085049748466
5,13,1,-0.005021801311031471,-0.005021801311031471
15,5,4,-0.0047331640512457696,-0.00029985960412781676
14,25,1,-0.004496388516215255,-0.004496388516215255
16,12,1,-0.0044425541013606296,-0.0044425541013606296
13,25,1,-0.004281229248322305,-0.004281229248322305
18,20,1,-0.004198690410966988,-0.004198690410966988
5,27,1,-0.0036393503543672434,-0.0036393503543672434
10,3,1,-0.0036374053108385596,-0.0036374053108385596
7,27,2,-0.0035809195537446215,-0.0035809195537446215
11,25,2,-0.003277618468259691,-0.003277618468259691
3,13,1,-0.0031648196633713432,-0.0031648196633713432
12,20,2,-0.0031626012471369647,-0.0031626012471369647
20,30,2,-0.0028656475845352247,-0.0028656475845352247
18,2,1,-0.002470352033063339,-0.002470352033063339
10,12,1,-0.0021292607360526294,-0.0021292607360526294
3,2,1,-0.002087871972310973,-0.002087871972310973
2,27,1,-0.00201356033422595,-0.00201356033422595
10,7,1,-0.0017898794905750748,-0.0017898794905750748
11,0,1,-0.0016471066600536322,-0.0016471066600536322
10,20,5,-0.0010009355134616316,0.0138367789839966
4,21,1,-0.0008947596824613324,-0.0008947596824613324
5,23,2,-0.0008775384456471969,-0.0008775384456471969
9,24,1,-0.0008592198883901059,-0.0008592198883901059
5,30,1,-0.00043808531015754326,-0.00043808531015754326
6,27,1,-0.00016216932931223393,-0.00016216932931223393
13,7,1,-7.947439798228206e-05,-7.947439798228206e-05
15,2,1,0.0,0.0
17,8,1,0.0,0.0
7,9,1,1.70777589847404e-07,1.70777589847404e-07
13,2,1,2.6324554616152795e-06,2.6324554616152795e-06
4,17,1,0.00016807910144489568,0.00016807910144489568
17,9,1,0.0005232107085437754,0.0005232107085437754
9,27,1,0.0007245854531346962,0.0007245854531346962
6,11,1,0.0008745338243377476,0.0008745338243377476
7,5,1,0.0009523117996472763,0.0009523117996472763
17,3,1,0.001242024776783035,0.001242024776783035
8,27,1,0.0012737507212430277,0.0012737507212430277
9,21,1,0.001343102624429715,0.001343102624429715
13,24,1,0.0013608546444667802,0.0013608546444667802
12,11,1,0.0013889059135945292,0.0013889059135945292
1,9,1,0.001496935117050402,0.001496935117050402
10,5,4,0.0015921771885317598,0.00025847125376632363
14,15,1,0.0018558693207719745,0.0018558693207719745
2,15,1,0.001999245554559881,0.001999245554559881
14,23,1,0.002028477223656844,0.002028477223656844
9,12,1,0.0022327073716490453,0.0022327073716490453
10,27,1,0.0027133052914140032,0.0027133052914140032
15,8,1,0.002930268237396283,0.002930268237396283
18,8,2,0.002945512550588558,0.002945512550588558
15,15,3,0.0029549165504986576,0.0034098550083456747
3,27,1,0.003062835299116662,0.003062835299116662
18,27,1,0.004149280252279508,0.004149280252279508
8,19,1,0.004184675508503988,0.004184675508503988
13,20,1,0.004197365406469866,0.004197365406469866
6,6,3,0.00452200044896553,-0.001317771943074142
12,13,1,0.00489247061098208,0.00489247061098208
1,3,3,0.00501110052883121,0.005164884473562559
1,29,1,0.005538904420050894,0.005538904420050894
3,6,1,0.005593600559300249,0.005593600559300249
5,8,2,0.005727051891880941,0.005727051891880941
15,17,1,0.006019479547351825,0.006019479547351825
5,12,1,0.006068875175707922,0.006068875175707922
7,15,2,0.006341265302214127,0.006341265302214127
0,5,1,0.006708880153082575,0.006708880153082575
18,9,1,0.006721555924999123,0.006721555924999123
5,25,5,0.006757376205548127,0.0024233721039019773
5,5,6,0.006793096851545018,0.0032526043172589336
4,9,2,0.006835400210404685,0.006835400210404685
1,6,1,0.007896755654928311,0.007896755654928311
10,10,5,0.008068401165923899,0.007438274202366202
15,25,3,0.008241938387641534,-0.0033520909068665006
3,15,3,0.00860330670718438,0.00725933143156543
11,6,1,0.008955459520054943,0.008955459520054943
4,6,1,0.009058730517346847,0.009058730517346847
14,13,1,0.010139768827549661,0.010139768827549661
11,27,1,0.0102192124504481,0.0102192124504481
11,20,1,0.010711579751595313,0.010711579751595313
0,15,1,0.010893274890245053,0.010893274890245053
16,18,1,0.01089943059997367,0.01089943059997367
12,24,1,0.01108011336551229,0.01108011336551229
15,20,6,0.012651988961238203,0.002142893441338778
16,4,1,0.013344596421098975,0.013344596421098975
17,16,1,0.013499695858361083,0.013499695858361083
18,25,1,0.01378289861579074,0.01378289861579074
8,16,1,0.014176212169781488,0.014176212169781488
7,11,1,0.014233794375957842,0.014233794375957842
14,20,1,0.014347373305720446,0.014347373305720446
3,26,1,0.014388856982202824,0.014388856982202824
13,13,1,0.014445234692300746,0.014445234692300746
0,20,1,0.01448952233851486,0.01448952233851486
3,24,1,0.015082003614072192,0.015082003614072192
7,8,1,0.016548821819953208,0.016548821819953208
15,9,1,0.01661039725499014,0.01661039725499014
9,18,1,0.01679429440968705,0.01679429440968705
12,19,1,0.018143431992260817,0.018143431992260817
2,3,1,0.01856734516294134,0.01856734516294134
1,7,1,0.018924824943384877,0.018924824943384877
13,16,1,0.0192645963359388,0.0192645963359388
7,21,1,0.02002858315159628,0.02002858315159628
9,25,1,0.020483816763748885,0.020483816763748885
7,20,1,0.023117935441575588,0.023117935441575588
6,3,1,0.02368646697417276,0.02368646697417276
6,18,1,0.024920391089143568,0.024920391089143568
5,11,1,0.02574375817150143,0.02574375817150143
18,3,1,0.028908242883910917,0.028908242883910917
6,25,1,0.03104119456153609,0.03104119456153609
11,26,1,0.03171830409660892,0.03171830409660892
11,15,1,0.032718705221509325,0.032718705221509325
11,14,2,0.03399209142792314,0.03399209142792314
16,25,1,0.0358979948520024,0.0358979948520024
4,28,2,0.0364283149004887,0.0364283149004887
17,23,1,0.037000408789868544,0.037000408789868544
8,15,2,0.03790429452009736,0.03790429452009736
7,3,1,0.03826053961466913,0.03826053961466913
10,30,1,0.038378279322580866,0.038378279322580866
10,11,1,0.03957393480277771,0.03957393480277771
8,18,1,0.04085482575500421,0.04085482575500421
1,27,1,0.04123105477140654,0.04123105477140654
4,3,1,0.04464974220198181,0.04464974220198181
18,10,2,0.04878492833652415,0.04878492833652415
5,10,7,0.054145683543883834,-0.00563677355168446
4,15,2,0.061737063864926695,0.061737063864926695
11,17,1,0.063046030400282,0.063046030400282
2,12,1,0.06881399428780721,0.06881399428780721
8,25,1,0.07175977612416373,0.07175977612416373
12,12,1,0.07347779747917238,0.07347779747917238
11,28,1,0.0764733827286419,0.0764733827286419
1,8,1,0.0857154010676755,0.0857154010676755
17,20,2,0.08715060675497344,0.08715060675497344
3,3,3,0.09672071910322229,0.011976200140769944
17,26,1,0.1120815444998362,0.1120815444998362
20,27,2,0.12878816248515257,0.12878816248515257
10,15,3,0.1645507613490193,0.00860018506995086
2,4,1,0.3422859972828727,0.3422859972828727
6,15,3,0.4044435297865164,0.013899353704143635
6,5,1,1.0846762219739787,1.0846762219739787
