Node_x,Node_y,n,mean_delta,median_delta
14,15,1,0.007454429958395625,0.007454429958395625
10,30,1,0.007682352857936614,0.007682352857936614
1,29,1,0.007965056325339726,0.007965056325339726
18,8,2,0.007966566248005624,0.007966566248005624
9,27,1,0.008302489500716104,0.008302489500716104
4,17,1,0.00846122664212512,0.00846122664212512
6,11,1,0.009385322898673304,0.009385322898673304
2,27,1,0.010139232810216114,0.010139232810216114
2,23,1,0.01035360370780447,0.01035360370780447
6,7,1,0.012664516365799239,0.012664516365799239
11,20,1,0.01588040713031691,0.01588040713031691
8,25,1,0.015987262270845903,0.015987262270845903
5,5,6,0.017493842821390677,-0.0009506835837704841
11,6,1,0.018983665705817776,0.018983665705817776
17,3,1,0.019342071571127217,0.019342071571127217
12,20,2,0.0228071413413464,0.0228071413413464
4,24,1,0.02449597470525955,0.02449597470525955
11,17,1,0.02528678007753804,0.02528678007753804
17,26,1,0.039792449326758295,0.039792449326758295
9,12,1,0.04087969657909585,0.04087969657909585
7,21,1,0.044755592559935664,0.044755592559935664
8,27,1,0.046834965255649674,0.046834965255649674
20,15,5,0.04779159815559136,-0.004383975710799959
1,7,1,0.053957935175786564,0.053957935175786564
11,15,1,0.06227241862562871,0.06227241862562871
2,4,1,0.06229429514607632,0.06229429514607632
18,10,2,0.0656993759046808,0.0656993759046808
11,14,2,0.06849547313098026,0.06849547313098026
5,30,1,0.06872633763380254,0.06872633763380254
4,28,2,0.07012519743500323,0.07012519743500323
4,21,1,0.07449062310786347,0.07449062310786347
5,11,1,0.07453887909477519,0.07453887909477519
5,10,7,0.07901614821093993,0.003950308827014748
4,9,2,0.08447856538661003,0.08447856538661003
13,13,1,0.09356132593883171,0.09356132593883171
18,25,1,0.10253391223568231,0.10253391223568231
7,11,1,0.10390431079362372,0.10390431079362372
3,3,3,0.10622494568656506,0.0047445628000351014
5,23,2,0.10766975582876748,0.10766975582876748
6,6,3,0.10847011200610131,1.9266905750270347e-05
8,16,1,0.11151346681129037,0.11151346681129037
2,12,1,0.1117075351692498,0.1117075351692498
16,12,1,0.11272684703404567,0.11272684703404567
7,25,2,0.11781184160562996,0.11781184160562996
8,15,2,0.12156691072971376,0.12156691072971376
15,10,1,0.12981480165390702,0.12981480165390702
13,16,1,0.13703117998667058,0.13703117998667058
20,27,2,0.13753325154991458,0.13753325154991458
7,20,1,0.14636768830081204,0.14636768830081204
20,0,4,0.15890601674799187,0.0
12,16,1,0.16261361361364524,0.16261361361364524
3,6,1,0.1653721063469069,0.1653721063469069
7,8,1,0.18702328487917352,0.18702328487917352
8,19,1,0.1901783204733385,0.1901783204733385
10,11,1,0.19957494863453196,0.19957494863453196
6,15,3,0.2049108088215474,0.00493860988954431
1,8,1,0.2383118035044287,0.2383118035044287
10,15,3,0.23906168757126142,0.022168705728796922
9,21,1,0.24627002103476747,0.24627002103476747
7,3,1,0.27853919041832675,0.27853919041832675
12,12,1,0.2914989868850446,0.2914989868850446
4,18,1,0.3720556120532499,0.3720556120532499
10,26,1,0.5058708277075408,0.5058708277075408
6,5,1,0.6962136153102172,0.6962136153102172
15,2,1,6.551321478276491,6.551321478276491
