huber_f_scale,calibration_kind,huber_eps,huber_alpha,ransac_rt,feat_mode,irls_residual_thresh_m,irls_max_iter,val_StepC_RMSE_m,val_StepC_MAE_m
0.95,huber,1.12,1e-06,,bias_sub,3.8,2,1.6137343114527454,1.2355122843061122
0.95,huber,1.12,1e-06,,bias_sub,3.8,3,1.6138456827710705,1.2356385927615863
0.95,huber,1.12,0.0001,,bias_sub,1.2,2,1.6850002160141286,1.3251162424825143
0.95,huber,1.12,0.0001,,bias_sub,1.2,3,1.7161919461586435,1.3633071915795925
0.95,huber,1.12,0.0001,,bias_sub,1.6,2,1.6444327704606398,1.2694066086201872
0.95,huber,1.12,0.0001,,bias_sub,1.6,3,1.662584924554903,1.2914618613282525
0.95,huber,1.12,0.0001,,bias_sub,2.0,2,1.628115793960661,1.250111337337007
0.95,huber,1.12,0.0001,,bias_sub,2.0,3,1.6344226654155023,1.2559064756143092
0.95,huber,1.12,0.0001,,bias_sub,2.4,2,1.620294037705466,1.2415250104533946
0.95,huber,1.12,0.0001,,bias_sub,2.4,3,1.6236990274009195,1.2439293702770433
0.95,huber,1.12,0.0001,,bias_sub,2.8,2,1.6162153559649102,1.2377860642883092
0.95,huber,1.12,0.0001,,bias_sub,2.8,3,1.6179235864482568,1.2388531738108264
0.95,huber,1.12,0.0001,,bias_sub,3.2,2,1.6138274284011596,1.2362592037399596
0.95,huber,1.12,0.0001,,bias_sub,3.2,3,1.614649434561373,1.2366858632480713
0.95,huber,1.12,0.0001,,bias_sub,3.8,2,1.6137343557736996,1.2355123700395143
0.95,huber,1.12,0.0001,,bias_sub,3.8,3,1.6138457310903034,1.2356386790838394
0.95,huber,1.12,0.001,,bias_sub,1.2,2,1.6850009274618498,1.3251172431346356
0.95,huber,1.12,0.001,,bias_sub,1.2,3,1.7161927096374294,1.3633081967274645
0.95,huber,1.12,0.001,,bias_sub,1.6,2,1.6444334268034022,1.2694076482605008
0.95,huber,1.12,0.001,,bias_sub,1.6,3,1.6625857223160765,1.2914630560179654
0.95,huber,1.12,0.001,,bias_sub,2.0,2,1.6281163913710752,1.2501122516492669
0.95,huber,1.12,0.001,,bias_sub,2.0,3,1.6344232511657801,1.2559074138092472
0.95,huber,1.12,0.001,,bias_sub,2.4,2,1.6202945289701334,1.2415258518269545
0.95,huber,1.12,0.001,,bias_sub,2.4,3,1.6236996030501603,1.2439302796863847
0.95,huber,1.12,0.001,,bias_sub,2.8,2,1.6162159154318367,1.2377869311463352
0.95,huber,1.12,0.001,,bias_sub,2.8,3,1.6179241316125317,1.2388540264925676
0.95,huber,1.12,0.001,,bias_sub,3.2,2,1.6138279710745946,1.2362600535906132
0.95,huber,1.12,0.001,,bias_sub,3.2,3,1.614649957773676,1.2366866982123708
0.95,huber,1.12,0.001,,bias_sub,3.8,2,1.6137348552225181,1.2355131715598486
0.95,huber,1.12,0.001,,bias_sub,3.8,3,1.613846235627464,1.2356394976680134
0.95,huber,1.35,1e-06,,bias_sub,1.2,2,1.7201921708700751,1.3637066107159475
0.95,huber,1.35,1e-06,,bias_sub,1.2,3,1.7537327106914775,1.4020862846712148
0.95,huber,1.35,1e-06,,bias_sub,1.6,2,1.68715664871587,1.3292562378201787
0.95,huber,1.35,1e-06,,bias_sub,1.6,3,1.7098961513415118,1.3530732052870846
0.95,huber,1.35,1e-06,,bias_sub,2.0,2,1.666874030747443,1.3025013415585491
0.95,huber,1.35,1e-06,,bias_sub,2.0,3,1.6752575097170828,1.3109383003396071
0.95,huber,1.35,1e-06,,bias_sub,2.4,2,1.6565384742593603,1.2906997641371352
0.95,huber,1.35,1e-06,,bias_sub,2.4,3,1.6604557652892333,1.2945827685465203
0.95,huber,1.35,1e-06,,bias_sub,2.8,2,1.6519174789828917,1.2857838042924907
0.95,huber,1.35,1e-06,,bias_sub,2.8,3,1.6540026882653733,1.2872928366199359
0.95,huber,1.35,1e-06,,bias_sub,3.2,2,1.6489750432574783,1.2830157370086843
0.95,huber,1.35,1e-06,,bias_sub,3.2,3,1.6500607774907152,1.2837110915304173
0.95,huber,1.35,1e-06,,bias_sub,3.8,2,1.6476961741525193,1.2812639956742935
0.95,huber,1.35,1e-06,,bias_sub,3.8,3,1.6478740997663814,1.2814954134493626
0.95,huber,1.35,0.0001,,bias_sub,1.2,2,1.720192232483655,1.3637066833702447
0.95,huber,1.35,0.0001,,bias_sub,1.2,3,1.7537327695638723,1.4020863492127669
0.95,huber,1.35,0.0001,,bias_sub,1.6,2,1.6871567705106603,1.3292564066628576
0.95,huber,1.35,0.0001,,bias_sub,1.6,3,1.7098958884368507,1.3530728407124601
0.95,huber,1.35,0.0001,,bias_sub,2.0,2,1.6668741847343977,1.3025015460034604
0.95,huber,1.35,0.0001,,bias_sub,2.0,3,1.675257563453346,1.310938374979384
0.95,huber,1.35,0.0001,,bias_sub,2.4,2,1.656538794218414,1.2907001983554964
0.95,huber,1.35,0.0001,,bias_sub,2.4,3,1.6604558097083841,1.2945828404495872
0.95,huber,1.35,0.0001,,bias_sub,2.8,2,1.6519175293545172,1.2857838690614303
0.95,huber,1.35,0.0001,,bias_sub,2.8,3,1.6540027293495145,1.287292901924916
0.95,huber,1.35,0.0001,,bias_sub,3.2,2,1.6489750871426778,1.2830158019221913
0.95,huber,1.35,0.0001,,bias_sub,3.2,3,1.6500608242103432,1.2837111568555353
0.95,huber,1.35,0.0001,,bias_sub,3.8,2,1.6476962266663144,1.281264067346277
