val_sample_index,Node_x,Node_y,anchor_slot,anchor_uwb,Pass,Gate_Drop,Var_Drop
50,5,0,0,110394ab,0,0,1
50,5,0,1,e63ce2f,0,1,0
50,5,0,2,8e610981,0,0,1
50,5,0,3,d10485af,0,1,0
50,5,0,4,d1044709,0,1,0
50,5,0,5,4e610206,0,0,1
51,10,5,0,110394ab,1,0,0
51,10,5,1,e63ce2f,0,1,0
51,10,5,2,8e610981,1,0,0
51,10,5,3,d10485af,1,0,0
51,10,5,4,d1044709,0,0,1
51,10,5,5,4e610206,1,0,0
52,15,0,0,110394ab,0,1,0
52,15,0,1,e63ce2f,0,1,0
52,15,0,2,8e610981,0,0,1
52,15,0,3,d10485af,0,1,0
52,15,0,4,d1044709,1,0,0
52,15,0,5,4e610206,0,1,0
53,15,5,0,110394ab,1,0,0
53,15,5,1,e63ce2f,1,0,0
53,15,5,2,8e610981,1,0,0
53,15,5,3,d10485af,0,0,1
53,15,5,4,d1044709,1,0,0
53,15,5,5,4e610206,0,0,1
54,10,10,0,110394ab,0,0,1
54,10,10,1,e63ce2f,0,0,1
54,10,10,2,8e610981,1,0,0
54,10,10,3,d10485af,0,1,0
54,10,10,4,d1044709,0,1,0
54,10,10,5,4e610206,0,0,1
55,15,10,0,110394ab,0,1,0
55,15,10,1,e63ce2f,0,1,0
55,15,10,2,8e610981,1,0,0
55,15,10,3,d10485af,0,0,1
55,15,10,4,d1044709,1,0,0
55,15,10,5,4e610206,0,0,1
56,15,20,0,110394ab,0,1,0
56,15,20,1,e63ce2f,0,1,0
56,15,20,2,8e610981,0,1,0
56,15,20,3,d10485af,0,0,1
56,15,20,4,d1044709,0,1,0
56,15,20,5,4e610206,0,1,0
57,20,5,0,110394ab,0,1,0
57,20,5,1,e63ce2f,0,1,0
57,20,5,2,8e610981,0,1,0
57,20,5,3,d10485af,0,1,0
57,20,5,4,d1044709,0,1,0
57,20,5,5,4e610206,0,0,1
58,20,10,0,110394ab,0,1,0
58,20,10,1,e63ce2f,0,1,0
58,20,10,2,8e610981,0,1,0
58,20,10,3,d10485af,1,0,0
58,20,10,4,d1044709,0,0,1
58,20,10,5,4e610206,1,0,0
59,0,0,0,110394ab,1,0,0
59,0,0,1,e63ce2f,0,1,0
59,0,0,2,8e610981,1,0,0
59,0,0,3,d10485af,0,0,1
59,0,0,4,d1044709,0,0,1
59,0,0,5,4e610206,0,0,1
60,10,30,0,110394ab,0,0,1
60,10,30,1,e63ce2f,1,0,0
60,10,30,2,8e610981,0,1,0
60,10,30,3,d10485af,0,1,0
60,10,30,4,d1044709,0,1,0
60,10,30,5,4e610206,0,1,0
61,11,30,0,110394ab,1,0,0
61,11,30,1,e63ce2f,0,0,1
61,11,30,2,8e610981,0,0,1
61,11,30,3,d10485af,1,0,0
61,11,30,4,d1044709,0,0,1
61,11,30,5,4e610206,0,1,0
62,12,30,0,110394ab,0,0,1
62,12,30,1,e63ce2f,0,0,1
62,12,30,2,8e610981,1,0,0
62,12,30,3,d10485af,1,0,0
62,12,30,4,d1044709,0,0,1
62,12,30,5,4e610206,0,1,0
63,13,30,0,110394ab,0,0,1
63,13,30,1,e63ce2f,0,0,1
63,13,30,2,8e610981,0,1,0
63,13,30,3,d10485af,0,1,0
63,13,30,4,d1044709,0,0,1
63,13,30,5,4e610206,1,0,0
64,14,30,0,110394ab,0,0,1
64,14,30,1,e63ce2f,0,0,1
64,14,30,2,8e610981,0,1,0
64,14,30,3,d10485af,0,1,0
64,14,30,4,d1044709,0,0,1
64,14,30,5,4e610206,1,0,0
65,15,30,0,110394ab,0,1,0
65,15,30,1,e63ce2f,0,0,1
65,15,30,2,8e610981,0,0,1
65,15,30,3,d10485af,1,0,0
65,15,30,4,d1044709,0,1,0
65,15,30,5,4e610206,1,0,0
66,11,27,0,110394ab,0,0,1
66,11,27,1,e63ce2f,0,1,0
66,11,27,2,8e610981,0,1,0
66,11,27,3,d10485af,0,1,0
66,11,27,4,d1044709,1,0,0
66,11,27,5,4e610206,1,0,0
67,12,27,0,110394ab,0,0,1
67,12,27,1,e63ce2f,0,0,1
67,12,27,2,8e610981,0,0,1
67,12,27,3,d10485af,0,0,1
67,12,27,4,d1044709,0,1,0
67,12,27,5,4e610206,0,0,1
68,13,27,0,110394ab,0,0,1
68,13,27,1,e63ce2f,0,0,1
68,13,27,2,8e610981,0,1,0
68,13,27,3,d10485af,0,1,0
68,13,27,4,d1044709,0,0,1
68,13,27,5,4e610206,0,0,1
69,14,27,0,110394ab,1,0,0
69,14,27,1,e63ce2f,0,0,1
69,14,27,2,8e610981,1,0,0
69,14,27,3,d10485af,0,1,0
69,14,27,4,d1044709,1,0,0
69,14,27,5,4e610206,0,0,1
70,2,2,0,110394ab,0,1,0
70,2,2,1,e63ce2f,0,0,1
70,2,2,2,8e610981,0,0,1
70,2,2,3,d10485af,0,0,1
70,2,2,4,d1044709,1,0,0
70,2,2,5,4e610206,0,0,1
71,6,4,0,110394ab,1,0,0
71,6,4,1,e63ce2f,0,1,0
71,6,4,2,8e610981,1,0,0
71,6,4,3,d10485af,0,1,0
71,6,4,4,d1044709,0,0,1
71,6,4,5,4e610206,0,0,1
72,18,3,0,110394ab,1,0,0
72,18,3,1,e63ce2f,0,1,0
72,18,3,2,8e610981,1,0,0
72,18,3,3,d10485af,0,0,1
72,18,3,4,d1044709,0,0,1
72,18,3,5,4e610206,0,1,0
73,3,10,0,110394ab,1,0,0
73,3,10,1,e63ce2f,0,0,1
73,3,10,2,8e610981,1,0,0
73,3,10,3,d10485af,0,1,0
73,3,10,4,d1044709,0,0,1
73,3,10,5,4e610206,0,1,0
74,8,14,0,110394ab,0,0,1
74,8,14,1,e63ce2f,0,0,1
74,8,14,2,8e610981,1,0,0
74,8,14,3,d10485af,0,1,0
74,8,14,4,d1044709,0,0,1
74,8,14,5,4e610206,1,0,0
75,17,12,0,110394ab,0,0,1
75,17,12,1,e63ce2f,0,0,1
75,17,12,2,8e610981,1,0,0
75,17,12,3,d10485af,1,0,0
75,17,12,4,d1044709,1,0,0
75,17,12,5,4e610206,0,1,0
76,4,20,0,110394ab,1,0,0
76,4,20,1,e63ce2f,0,0,1
76,4,20,2,8e610981,1,0,0
76,4,20,3,d10485af,1,0,0
76,4,20,4,d1044709,0,0,1
76,4,20,5,4e610206,1,0,0
77,9,23,0,110394ab,0,0,1
77,9,23,1,e63ce2f,0,0,1
77,9,23,2,8e610981,1,0,0
77,9,23,3,d10485af,1,0,0
77,9,23,4,d1044709,1,0,0
77,9,23,5,4e610206,1,0,0
78,18,24,0,110394ab,0,1,0
78,18,24,1,e63ce2f,0,1,0
78,18,24,2,8e610981,0,1,0
78,18,24,3,d10485af,0,0,1
78,18,24,4,d1044709,1,0,0
78,18,24,5,4e610206,1,0,0
79,6,28,0,110394ab,0,0,1
79,6,28,1,e63ce2f,0,1,0
79,6,28,2,8e610981,0,1,0
79,6,28,3,d10485af,0,0,1
79,6,28,4,d1044709,0,1,0
79,6,28,5,4e610206,1,0,0
80,12,27,0,110394ab,0,1,0
80,12,27,1,e63ce2f,0,1,0
80,12,27,2,8e610981,1,0,0
80,12,27,3,d10485af,1,0,0
80,12,27,4,d1044709,0,0,1
80,12,27,5,4e610206,0,0,1
81,13,27,0,110394ab,0,0,1
81,13,27,1,e63ce2f,0,1,0
81,13,27,2,8e610981,1,0,0
81,13,27,3,d10485af,0,1,0
81,13,27,4,d1044709,0,0,1
81,13,27,5,4e610206,0,0,1
82,14,27,0,110394ab,0,1,0
82,14,27,1,e63ce2f,0,0,1
82,14,27,2,8e610981,1,0,0
82,14,27,3,d10485af,1,0,0
82,14,27,4,d1044709,0,0,1
82,14,27,5,4e610206,0,0,1
83,15,27,0,110394ab,0,0,1
83,15,27,1,e63ce2f,0,0,1
83,15,27,2,8e610981,1,0,0
83,15,27,3,d10485af,0,0,1
83,15,27,4,d1044709,0,0,1
83,15,27,5,4e610206,0,0,1
84,16,27,0,110394ab,0,1,0
84,16,27,1,e63ce2f,1,0,0
84,16,27,2,8e610981,1,0,0
84,16,27,3,d10485af,0,0,1
84,16,27,4,d1044709,0,1,0
84,16,27,5,4e610206,0,0,1
85,17,27,0,110394ab,0,1,0
85,17,27,1,e63ce2f,0,1,0
85,17,27,2,8e610981,1,0,0
85,17,27,3,d10485af,0,0,1
85,17,27,4,d1044709,0,1,0
85,17,27,5,4e610206,0,0,1
86,18,27,0,110394ab,0,0,1
86,18,27,1,e63ce2f,0,1,0
86,18,27,2,8e610981,1,0,0
86,18,27,3,d10485af,0,0,1
86,18,27,4,d1044709,0,0,1
86,18,27,5,4e610206,0,0,1
87,19,27,0,110394ab,0,0,1
87,19,27,1,e63ce2f,0,1,0
87,19,27,2,8e610981,1,0,0
87,19,27,3,d10485af,0,0,1
87,19,27,4,d1044709,0,0,1
87,19,27,5,4e610206,0,0,1
88,20,27,0,110394ab,0,0,1
88,20,27,1,e63ce2f,0,0,1
88,20,27,2,8e610981,1,0,0
88,20,27,3,d10485af,0,0,1
88,20,27,4,d1044709,0,0,1
88,20,27,5,4e610206,0,0,1
89,20,28,0,110394ab,0,1,0
89,20,28,1,e63ce2f,0,1,0
89,20,28,2,8e610981,1,0,0
89,20,28,3,d10485af,0,0,1
