Node_x,Node_y,n,mean_delta,median_delta
14,15,1,-0.0006923147900064208,-0.0006923147900064208
17,9,1,-0.0002193182040555186,-0.0002193182040555186
13,7,1,-8.657811424848255e-05,-8.657811424848255e-05
10,7,1,-2.2571005732663352e-05,-2.2571005732663352e-05
15,2,1,0.0,0.0
17,8,1,0.0,0.0
9,21,1,1.7639761856313996e-05,1.7639761856313996e-05
3,26,1,2.7627225833493085e-05,2.7627225833493085e-05
10,10,5,0.00037386200860010655,-0.0020327452287247083
15,15,3,0.000482826646669469,-0.0005720846428358684
7,21,1,0.0011184014455976055,0.0011184014455976055
7,9,1,0.0011746629161009103,0.0011746629161009103
6,11,1,0.0012972948494874847,0.0012972948494874847
15,8,1,0.0013746575562364471,0.0013746575562364471
12,20,2,0.0014833850553675476,0.0014833850553675476
10,3,1,0.001679928033274658,0.001679928033274658
3,27,1,0.0016811106893748207,0.0016811106893748207
6,3,1,0.00192538291284583,0.00192538291284583
11,27,1,0.0022531067988902365,0.0022531067988902365
0,15,1,0.0024834126386981126,0.0024834126386981126
12,24,1,0.002501405910488863,0.002501405910488863
10,27,1,0.00311936153599246,0.00311936153599246
3,13,1,0.003204648908182506,0.003204648908182506
1,3,3,0.0033150584979210564,0.0041399367153691635
18,3,1,0.003361708732443236,0.003361708732443236
6,22,1,0.0034666782573467003,0.0034666782573467003
18,27,1,0.003680107951923528,0.003680107951923528
5,20,3,0.0037846366897232495,0.002030847702946481
20,20,2,0.0038568801080061943,0.0038568801080061943
16,18,1,0.003953637851743741,0.003953637851743741
5,5,6,0.004056380572910819,0.008812776898234786
5,30,1,0.004206625825003307,0.004206625825003307
14,13,1,0.004501259158969373,0.004501259158969373
4,9,2,0.004607534335989927,0.004607534335989927
3,2,1,0.004675542788819209,0.004675542788819209
0,20,1,0.004971074568500211,0.004971074568500211
0,5,1,0.005280757244738865,0.005280757244738865
4,21,1,0.005526895540680865,0.005526895540680865
4,15,2,0.005805252608792777,0.005805252608792777
4,28,2,0.006281634400514879,0.006281634400514879
2,3,1,0.006790667219590096,0.006790667219590096
14,20,1,0.008026023881693378,0.008026023881693378
19,21,1,0.008306137609262021,0.008306137609262021
6,25,1,0.008384227590543691,0.008384227590543691
11,26,1,0.008736148408361899,0.008736148408361899
8,27,1,0.008947894455447414,0.008947894455447414
16,4,1,0.009991281396555474,0.009991281396555474
15,17,1,0.011518797137348047,0.011518797137348047
13,2,1,0.011659004546901164,0.011659004546901164
15,25,3,0.012097590685687054,0.018051436406703925
20,15,5,0.012956192631635055,0.013989073514664163
11,25,2,0.013395496334909829,0.013395496334909829
5,8,2,0.013446333074332795,0.013446333074332795
12,11,1,0.013603239397373068,0.013603239397373068
15,20,6,0.014492580369713062,0.0034917050679745265
9,12,1,0.014508332267388457,0.014508332267388457
1,29,1,0.014580943064111729,0.014580943064111729
3,6,1,0.014765307760779223,0.014765307760779223
1,27,1,0.015841862884153457,0.015841862884153457
18,25,1,0.015918265832450595,0.015918265832450595
16,25,1,0.01597735934302258,0.01597735934302258
3,15,3,0.016936058405547866,0.012202047324856302
10,30,1,0.017061496365228024,0.017061496365228024
6,18,1,0.017187066334361845,0.017187066334361845
8,18,1,0.017591909638500658,0.017591909638500658
11,6,1,0.01801777065043275,0.01801777065043275
11,28,1,0.018229366536014924,0.018229366536014924
6,6,3,0.018473059340460507,0.019714061250026838
11,14,2,0.019490331870879563,0.019490331870879563
13,16,1,0.020745909575821786,0.020745909575821786
8,19,1,0.021383686346340747,0.021383686346340747
11,15,1,0.02191251283177853,0.02191251283177853
8,16,1,0.02192889345936566,0.02192889345936566
16,12,1,0.022406589742990812,0.022406589742990812
7,20,1,0.02319285181415398,0.02319285181415398
4,3,1,0.024342971397259383,0.024342971397259383
7,8,1,0.024342987589034415,0.024342987589034415
12,25,1,0.02537253663579042,0.02537253663579042
13,13,1,0.025844651614539416,0.025844651614539416
6,27,1,0.028182003504475528,0.028182003504475528
7,11,1,0.029123801691113227,0.029123801691113227
13,24,1,0.029333846521970353,0.029333846521970353
4,24,1,0.029820545876033666,0.029820545876033666
14,23,1,0.030682784400591245,0.030682784400591245
9,25,1,0.03361726800372178,0.03361726800372178
3,3,3,0.0366922609197445,-0.0036198113421685996
0,0,1,0.03998918676087326,0.03998918676087326
10,11,1,0.04160943822280627,0.04160943822280627
15,30,1,0.04583286680786358,0.04583286680786358
2,12,1,0.050369777577937036,0.050369777577937036
17,20,2,0.055369877851649874,0.055369877851649874
17,26,1,0.06310193556304355,0.06310193556304355
8,15,2,0.06745780477655172,0.06745780477655172
11,17,1,0.07756793212298074,0.07756793212298074
18,10,2,0.0859744685447078,0.0859744685447078
12,12,1,0.11260881173951787,0.11260881173951787
1,8,1,0.11835802962432496,0.11835802962432496
20,27,2,0.12087150087479515,0.12087150087479515
2,4,1,0.1522577350234391,0.1522577350234391
10,15,3,0.20350716057599985,0.008028502744096722
6,5,1,0.37874203697532227,0.37874203697532227
7,3,1,0.37911102592913837,0.37911102592913837
6,15,3,0.4024503714452754,0.01086017567851627
