row_idx,anchor_key,true_dist_m,uwb_median_m,uwb_median_bias_corrected_m,gate_resid_m,passed_v15_gate
142,d10485af,0.6000000000000014,0.36,2.4111,1.8110999999999984,1
142,d1044709,10.682696288858914,8.7,9.6961,0.9865962888589141,1
143,e63ce2f,8.0049984384758,5.63,9.273,1.2680015615241995,1
143,d10485af,13.916896205691842,11.14,13.1911,0.7257962056918412,1
143,d1044709,7.683749084919419,7.28,8.2761,0.5923509150805808,1
144,4e610206,2.4738633753705948,2.2,2.8074000000000003,0.3335366246294056,1
145,110394ab,7.823042886243178,7.53,9.4567,1.633657113756822,1
145,8e610981,4.8373546489791295,4.39,4.9055,0.06814535102087049,1
146,8e610981,7.299315036357863,4.74,5.2555000000000005,2.043815036357863,1
147,d10485af,4.242640687119285,3.15,5.2011,0.9584593128807155,1
148,d10485af,1.8000000000000007,1.74,3.7911,1.9910999999999994,1
149,110394ab,11.649892703368558,7.68,9.6067,2.0431927033685575,1
149,d10485af,2.4738633753705965,2.29,4.3411,1.8672366246294034,1
149,d1044709,8.072174428244224,6.7,7.6961,0.3760744282442241,1
150,8e610981,6.0,7.46,7.9755,1.9755000000000003,1
151,d1044709,3.6000000000000005,3.38,4.3761,0.7760999999999996,1
153,d10485af,0.8485281374238569,0.64,2.6911,1.8425718625761431,1
155,8e610981,4.947726750741193,4.66,5.1755,0.22777324925880738,1
157,8e610981,3.6496575181789312,3.55,4.0655,0.41584248182106887,1
157,d1044709,2.4000000000000004,3.29,4.2861,1.8860999999999999,1
158,4e610206,5.091168824543143,5.97,6.5774,1.4862311754568571,1
160,8e610981,10.615083607772478,10.45,10.965499999999999,0.35041639222752075,1
161,4e610206,3.3941125496954285,3.2,3.8074000000000003,0.4132874503045718,1
162,110394ab,8.919641248391104,8.77,10.6967,1.7770587516088963,1
162,e63ce2f,3.2310988842807022,1.09,4.733,1.5019011157192974,1
162,4e610206,9.019977827023745,8.72,9.3274,0.3074221729762563,1
165,e63ce2f,9.618731725128837,6.04,9.683,0.06426827487116249,1
165,8e610981,5.43323108288245,6.21,6.7255,1.2922689171175499,1
165,d10485af,12.6,9.29,11.341099999999999,1.2589000000000006,1
166,d10485af,8.160882305241264,4.84,6.8911,1.2697823052412645,1
168,d10485af,9.019977827023745,7.82,9.8711,0.8511221729762557,1
169,4e610206,2.1633307652783946,2.02,2.6274,0.46406923472160555,1
170,110394ab,9.618731725128837,9.46,11.386700000000001,1.7679682748711638,1
170,8e610981,10.182337649086284,8.56,9.0755,1.106837649086284,1
171,8e610981,4.5694638635183455,4.4,4.915500000000001,0.346036136481656,1
172,110394ab,10.21763181955584,9.75,11.6767,1.4590681804441594,1
172,8e610981,10.615083607772478,8.36,8.875499999999999,1.7395836077724791,1
174,8e610981,0.5999999999999996,0.43,0.9455,0.34550000000000036,1
174,4e610206,7.224956747275376,4.92,5.5274,1.6975567472753763,1
175,e63ce2f,10.478549517943788,5.21,8.853,1.6255495179437887,1
176,e63ce2f,9.333809511662427,4.64,8.283,1.0508095116624272,1
176,8e610981,2.9999999999999987,1.04,1.5554999999999999,1.4444999999999988,1
176,d1044709,4.326661530556787,4.19,5.186100000000001,0.859438469443214,1
177,8e610981,4.242640687119285,4.19,4.705500000000001,0.4628593128807159,1
178,110394ab,11.27297653683356,10.77,12.6967,1.4237234631664393,1
178,e63ce2f,10.682696288858912,6.6,10.242999999999999,0.4396962888589133,1
178,d1044709,5.531726674375732,4.35,5.3461,0.18562667437573221,1
179,4e610206,3.6496575181789317,3.8,4.4074,0.7577424818210683,1
180,110394ab,13.955644019535608,12.07,13.9967,0.041055980464392405,1
180,d10485af,4.36806593356831,3.98,6.0311,1.66303406643169,1
180,d1044709,7.022819946431775,7.59,8.5861,1.5632800535682252,1
180,4e610206,1.8973665961010286,2.8,3.4074,1.5100334038989713,1
181,4e610206,4.326661530556788,5.77,6.3774,2.0507384694432114,1
182,d10485af,7.224956747275376,5.32,7.3711,0.1461432527246238,1
183,110394ab,13.99428454762872,12.92,14.8467,0.8524154523712806,1
183,8e610981,7.224956747275376,6.63,7.1455,0.07945674727537622,1
184,110394ab,13.17269904006009,12.93,14.8567,1.68400095993991,1
184,8e610981,9.0,7.84,8.3555,0.6445000000000007,1
184,4e610206,6.4899922958351794,4.88,5.4874,1.0025922958351794,1
185,d10485af,10.217631819555839,6.9,8.9511,1.2665318195558388,1
185,d1044709,1.6970562748477132,1.43,2.4261,0.7290437251522868,1
186,8e610981,4.242640687119284,4.36,4.875500000000001,0.6328593128807167,1
186,d10485af,3.2310988842807022,1.18,3.2310999999999996,1.115719297395401e-06,1
186,d1044709,7.224956747275376,6.87,7.8661,0.6411432527246239,1
187,d10485af,18.83082579177026,15.38,17.4311,1.3997257917702584,1
188,4e610206,4.242640687119285,4.09,4.6974,0.45475931288071525,1
