phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
0,bias_sub,identity,1.35,1.55,24.0,1.35,3.05,2,2.623069717528164
0,bias_sub,identity,1.35,1.55,10.0,1.35,3.1,3,2.623214653527096
0,bias_sub,identity,1.35,1.35,10.0,1.35,3.1,3,2.623266169303369
0,bias_sub,identity,1.35,1.45,12.0,1.0,3.05,2,2.6235056453970627
0,bias_sub,identity,1.35,1.45,8.0,1.0,2.85,2,2.623571264907916
0,bias_sub,identity,1.35,1.55,10.0,1.35,3.05,3,2.623787108321289
0,bias_sub,identity,1.35,1.35,12.0,1.35,3.1,3,2.6238191462172082
0,bias_sub,identity,1.35,1.55,24.0,1.35,2.95,2,2.6239648869280088
0,bias_sub,identity,1.35,1.35,10.0,1.35,3.05,3,2.6240559525469687
0,bias_sub,identity,1.35,1.55,12.0,1.35,3.1,3,2.624185952954949
0,bias_sub,identity,1.35,1.55,8.0,1.0,2.95,2,2.6242202855837697
0,bias_sub,identity,1.35,1.45,8.0,1.0,3.1,3,2.6243893598746997
0,bias_sub,identity,1.35,1.35,24.0,1.35,3.1,3,2.6244764263899016
0,bias_sub,identity,1.35,1.35,12.0,1.35,3.05,3,2.6245928567845382
0,bias_sub,identity,1.35,1.45,24.0,1.35,2.95,3,2.6246425539075293
0,bias_sub,identity,1.35,1.55,12.0,1.35,3.05,3,2.6247324497515603
0,bias_sub,identity,1.35,1.45,12.0,1.0,2.95,2,2.62477872613561
0,bias_sub,identity,1.35,1.45,10.0,1.0,3.1,2,2.6249311528542187
0,bias_sub,identity,1.35,1.55,10.0,1.35,2.95,3,2.625086436906881
0,bias_sub,identity,1.35,1.45,8.0,1.0,3.05,3,2.625131790251354
0,bias_sub,identity,1.35,1.55,12.0,1.0,3.1,2,2.62515760821287
0,bias_sub,identity,1.35,1.55,24.0,1.35,2.85,2,2.625235587260501
0,bias_sub,identity,1.35,1.45,10.0,1.0,3.05,2,2.6254007985349226
0,bias_sub,identity,1.35,1.35,24.0,1.35,3.05,3,2.6254926671039684
0,bias_sub,identity,1.35,1.55,8.0,1.0,2.85,2,2.625611852779032
0,bias_sub,identity,1.35,1.55,12.0,1.0,3.05,2,2.6256502906234576
0,bias_sub,identity,1.35,1.35,10.0,1.35,2.95,3,2.6259072408426394
0,bias_sub,identity,1.35,1.55,12.0,1.35,2.95,3,2.625982865452618
0,bias_sub,identity,1.35,1.45,12.0,1.0,2.85,2,2.6262926093320234
0,bias_sub,identity,1.35,1.35,12.0,1.35,2.95,3,2.62642186381246
0,bias_sub,identity,1.35,1.45,10.0,1.0,2.95,2,2.62658225292243
0,bias_sub,identity,1.35,1.55,24.0,1.35,3.1,3,2.626623690479475
0,bias_sub,identity,1.35,1.55,8.0,1.0,3.1,3,2.6266290762774602
0,bias_sub,identity,1.35,1.45,24.0,1.35,2.85,3,2.62667720611833
0,bias_sub,identity,1.35,1.45,24.0,1.0,3.1,2,2.6267199555038374
0,bias_sub,identity,1.35,1.55,10.0,1.35,2.85,3,2.626755493662058
0,bias_sub,identity,1.35,1.55,8.0,1.35,2.85,3,2.626764210187795
0,bias_sub,identity,1.35,1.45,8.0,1.0,2.95,3,2.626871395018546
0,bias_sub,identity,1.35,1.55,12.0,1.0,2.95,2,2.6269151690953243
0,bias_sub,identity,1.35,1.35,8.0,1.0,3.1,2,2.626968300139968
0,bias_sub,identity,1.35,1.55,10.0,1.0,3.1,2,2.6270302433391057
0,bias_sub,identity,1.35,1.45,24.0,1.0,3.05,2,2.6272218439893096
0,bias_sub,identity,1.35,1.45,12.0,1.0,3.1,3,2.6272374637018863
0,bias_sub,identity,1.35,1.55,24.0,1.35,3.05,3,2.627362167003105
0,bias_sub,identity,1.35,1.55,8.0,1.0,3.05,3,2.627380124326563
0,bias_sub,identity,1.35,1.55,10.0,1.0,3.05,2,2.627501099384304
0,bias_sub,identity,1.35,1.35,8.0,1.0,3.05,2,2.6275665615598447
0,bias_sub,identity,1.35,1.55,12.0,1.35,2.85,3,2.627608636257978
0,bias_sub,identity,1.35,1.45,10.0,1.0,2.85,2,2.6279147993382455
0,bias_sub,identity,1.35,1.35,24.0,1.35,2.95,3,2.6280111584725225
0,bias_sub,identity,1.35,1.45,12.0,1.0,3.05,3,2.628019803031009
0,bias_sub,identity,1.35,1.35,10.0,1.35,2.85,3,2.6281886539958452
0,bias_sub,identity,1.35,1.55,12.0,1.0,2.85,2,2.62841197142829
0,bias_sub,identity,1.35,1.45,24.0,1.0,2.95,2,2.6285128845794437
0,bias_sub,identity,1.35,1.45,8.0,1.0,2.85,3,2.6285639258859637
0,bias_sub,identity,1.35,1.35,12.0,1.0,3.1,2,2.6286290744147927
0,bias_sub,identity,1.35,1.55,10.0,1.0,2.95,2,2.628675590735731
0,bias_sub,identity,1.35,1.35,8.0,1.35,2.85,3,2.6286785025756063
0,bias_sub,identity,1.35,1.35,12.0,1.35,2.85,3,2.6286845006703143
0,bias_sub,identity,1.35,1.45,10.0,1.0,3.1,3,2.628946896362161
0,bias_sub,identity,1.35,1.55,24.0,1.0,3.1,2,2.628966863501882
0,bias_sub,identity,1.35,1.35,8.0,1.0,2.95,2,2.6290507055414376
0,bias_sub,identity,1.35,1.55,8.0,1.0,2.95,3,2.6291318863754505
0,bias_sub,identity,1.35,1.55,24.0,1.35,2.95,3,2.6291984667861112
0,bias_sub,identity,1.35,1.35,12.0,1.0,3.05,2,2.6292669721965307
0,bias_sub,identity,1.35,1.55,24.0,1.0,3.05,2,2.6294669580153385
0,bias_sub,identity,1.35,1.55,12.0,1.0,3.1,3,2.6296942684961047
0,bias_sub,identity,1.35,1.45,10.0,1.0,3.05,3,2.6297117798362506
0,bias_sub,identity,1.35,1.45,12.0,1.0,2.95,3,2.629757729319828
0,bias_sub,identity,1.35,1.55,10.0,1.0,2.85,2,2.629992659744209
0,bias_sub,identity,1.35,1.45,24.0,1.0,2.85,2,2.63001568883313
0,bias_sub,identity,1.35,1.55,12.0,1.0,3.05,3,2.630485749725672
0,bias_sub,identity,1.35,1.35,24.0,1.35,2.85,3,2.630628623858573
0,bias_sub,identity,1.35,1.35,24.0,1.0,3.1,2,2.6306983495295095
0,bias_sub,identity,1.35,1.45,10.0,1.0,2.85,3,2.63070157388127
0,bias_sub,identity,1.35,1.55,24.0,1.0,2.95,2,2.6307403170394728
0,bias_sub,identity,1.35,1.35,8.0,1.0,2.85,2,2.6307637077913992
0,bias_sub,identity,1.35,1.55,8.0,1.0,2.85,3,2.6308178861621236
0,bias_sub,identity,1.35,1.45,24.0,1.0,3.1,3,2.630839871876266
0,bias_sub,identity,1.35,1.35,12.0,1.0,2.95,2,2.6308399146434227
0,bias_sub,identity,1.35,1.35,10.0,1.0,3.1,2,2.6309138365435163
0,bias_sub,identity,1.35,1.55,24.0,1.35,2.85,3,2.631072166224248
0,bias_sub,identity,1.35,1.55,10.0,1.0,3.1,3,2.631291127948915
0,bias_sub,identity,1.35,1.45,10.0,1.0,2.95,3,2.631296684122894
0,bias_sub,identity,1.35,1.35,24.0,1.0,3.05,2,2.6313550485560846
0,bias_sub,identity,1.35,1.35,10.0,1.0,3.05,2,2.6315260276409362
0,bias_sub,identity,1.35,1.45,12.0,1.0,2.85,3,2.6316051743732967
0,bias_sub,identity,1.35,1.45,24.0,1.0,3.05,3,2.6316150321962177
0,bias_sub,identity,1.35,1.55,10.0,1.0,3.05,3,2.6320648726553024
0,bias_sub,identity,1.35,1.35,8.0,1.0,3.1,3,2.6321582693716157
0,bias_sub,identity,1.35,1.55,24.0,1.0,2.85,2,2.6322115749449337
0,bias_sub,identity,1.35,1.55,12.0,1.0,2.95,3,2.6322367104291065
0,bias_sub,identity,1.35,1.35,12.0,1.0,2.85,2,2.632675865595816
0,bias_sub,identity,1.35,1.35,24.0,1.0,2.95,2,2.632962034924093
0,bias_sub,identity,1.35,1.35,10.0,1.0,2.95,2,2.6330009239778542
0,bias_sub,identity,1.35,1.55,10.0,1.0,2.85,3,2.633060453301064
0,bias_sub,identity,1.35,1.35,8.0,1.0,3.05,3,2.633085803539354
0,bias_sub,identity,1.35,1.45,24.0,1.0,2.95,3,2.6334045093908625
0,bias_sub,identity,1.35,1.55,24.0,1.0,3.1,3,2.633560717816207
0,bias_sub,identity,1.35,1.55,10.0,1.0,2.95,3,2.6336621988328694
0,bias_sub,identity,1.35,1.55,12.0,1.0,2.85,3,2.6340788136762274
0,bias_sub,identity,1.35,1.35,12.0,1.0,3.1,3,2.634219109545367
0,bias_sub,identity,1.35,1.55,24.0,1.0,3.05,3,2.6343416971598677
0,bias_sub,identity,1.35,1.35,10.0,1.0,2.85,2,2.634648742591564
0,bias_sub,identity,1.35,1.35,24.0,1.0,2.85,2,2.63480132011868
0,bias_sub,identity,1.35,1.45,24.0,1.0,2.85,3,2.6351510387651835
0,bias_sub,identity,1.35,1.35,12.0,1.0,3.05,3,2.6351958285530936
0,bias_sub,identity,1.35,1.35,8.0,1.0,2.95,3,2.635204456260222
0,bias_sub,identity,1.35,1.55,24.0,1.0,2.95,3,2.636132627743041
0,bias_sub,identity,1.35,1.35,10.0,1.0,3.1,3,2.6362671399737816
0,bias_sub,identity,1.35,1.35,24.0,1.0,3.1,3,2.636329123423654
0,bias_sub,identity,1.35,1.35,10.0,1.0,3.05,3,2.637221848411456
0,bias_sub,identity,1.35,1.35,8.0,1.0,2.85,3,2.63723221658331
0,bias_sub,identity,1.35,1.35,24.0,1.0,3.05,3,2.6373114908532087
0,bias_sub,identity,1.35,1.35,12.0,1.0,2.95,3,2.637331780659764
0,bias_sub,identity,1.35,1.55,24.0,1.0,2.85,3,2.6378609823396686
0,bias_sub,identity,1.35,1.35,10.0,1.0,2.85,3,2.6389618816539637
0,bias_sub,identity,1.35,1.35,10.0,1.0,2.95,3,2.6391968007144686
0,bias_sub,identity,1.35,1.35,24.0,1.0,2.95,3,2.639523350422682
0,bias_sub,identity,1.35,1.35,12.0,1.0,2.85,3,2.6395338983920893
0,bias_sub,identity,1.35,1.65,10.0,1.35,3.1,2,2.639545476315473
0,bias_sub,identity,1.35,1.65,10.0,1.35,3.05,2,2.640312667369047
0,bias_sub,identity,1.35,1.65,8.0,1.35,3.1,2,2.6411929721179717
