anchor_key,true_dist_m,median_bias_corrected_m,gate_resid_m
4e610206,2.4738633753705948,2.8074000000000003,0.3335366246294056
110394ab,7.823042886243178,9.4567,1.633657113756822
8e610981,4.8373546489791295,4.9055,0.06814535102087049
8e610981,7.299315036357863,5.2555000000000005,2.043815036357863
d10485af,4.242640687119285,5.2011,0.9584593128807155
d10485af,1.8000000000000007,3.7911,1.9910999999999994
110394ab,11.649892703368558,9.6067,2.0431927033685575
d10485af,2.4738633753705965,4.3411,1.8672366246294034
d1044709,8.072174428244224,7.6961,0.3760744282442241
8e610981,6.0,7.9755,1.9755000000000003
d1044709,3.6000000000000005,4.3761,0.7760999999999996
d10485af,0.8485281374238569,2.6911,1.8425718625761431
8e610981,4.947726750741193,5.1755,0.22777324925880738
8e610981,3.6496575181789312,4.0655,0.41584248182106887
d1044709,2.4000000000000004,4.2861,1.8860999999999999
4e610206,5.091168824543143,6.5774,1.4862311754568571
8e610981,10.615083607772478,10.965499999999999,0.35041639222752075
4e610206,3.3941125496954285,3.8074000000000003,0.4132874503045718
110394ab,8.919641248391104,10.6967,1.7770587516088963
e63ce2f,3.2310988842807022,4.733,1.5019011157192974
4e610206,9.019977827023745,9.3274,0.3074221729762563
e63ce2f,9.618731725128837,9.683,0.06426827487116249
8e610981,5.43323108288245,6.7255,1.2922689171175499
d10485af,12.6,11.341099999999999,1.2589000000000006
d10485af,8.160882305241264,6.8911,1.2697823052412645
d10485af,9.019977827023745,9.8711,0.8511221729762557
4e610206,2.1633307652783946,2.6274,0.46406923472160555
110394ab,9.618731725128837,11.386700000000001,1.7679682748711638
8e610981,10.182337649086284,9.0755,1.106837649086284
8e610981,4.5694638635183455,4.915500000000001,0.346036136481656
110394ab,10.21763181955584,11.6767,1.4590681804441594
8e610981,10.615083607772478,8.875499999999999,1.7395836077724791
8e610981,0.5999999999999996,0.9455,0.34550000000000036
4e610206,7.224956747275376,5.5274,1.6975567472753763
e63ce2f,10.478549517943788,8.853,1.6255495179437887
e63ce2f,9.333809511662427,8.283,1.0508095116624272
8e610981,2.9999999999999987,1.5554999999999999,1.4444999999999988
d1044709,4.326661530556787,5.186100000000001,0.859438469443214
8e610981,4.242640687119285,4.705500000000001,0.4628593128807159
110394ab,11.27297653683356,12.6967,1.4237234631664393
e63ce2f,10.682696288858912,10.242999999999999,0.4396962888589133
d1044709,5.531726674375732,5.3461,0.18562667437573221
4e610206,3.6496575181789317,4.4074,0.7577424818210683
110394ab,13.955644019535608,13.9967,0.041055980464392405
d10485af,4.36806593356831,6.0311,1.66303406643169
d1044709,7.022819946431775,8.5861,1.5632800535682252
4e610206,1.8973665961010286,3.4074,1.5100334038989713
4e610206,4.326661530556788,6.3774,2.0507384694432114
d10485af,7.224956747275376,7.3711,0.1461432527246238
110394ab,13.99428454762872,14.8467,0.8524154523712806
8e610981,7.224956747275376,7.1455,0.07945674727537622
110394ab,13.17269904006009,14.8567,1.68400095993991
8e610981,9.0,8.3555,0.6445000000000007
4e610206,6.4899922958351794,5.4874,1.0025922958351794
d10485af,10.217631819555839,8.9511,1.2665318195558388
d1044709,1.6970562748477132,2.4261,0.7290437251522868
8e610981,4.242640687119284,4.875500000000001,0.6328593128807167
d10485af,3.2310988842807022,3.2310999999999996,1.115719297395401e-06
d1044709,7.224956747275376,7.8661,0.6411432527246239
d10485af,18.83082579177026,17.4311,1.3997257917702584
4e610206,4.242640687119285,4.6974,0.45475931288071525
4e610206,5.43323108288245,6.0274,0.5941689171175497
8e610981,8.335466393669883,8.9755,0.6400336063301175
d1044709,3.7947331922020555,2.7061,1.0886331922020553
4e610206,9.767292357659821,10.1174,0.35010764234017877
e63ce2f,7.022819946431774,6.893,0.1298199464317742
d10485af,9.0,10.6011,1.6011000000000006
d1044709,2.4738633753705948,3.3160999999999996,0.8422366246294049
8e610981,5.909314681077661,6.3155,0.406185318922339
d10485af,3.4985711369071804,5.3011,1.8025288630928196
4e610206,3.000000000000001,3.7174,0.7173999999999991
8e610981,9.158602513484249,7.835500000000001,1.3231025134842485
d10485af,14.818906842274162,16.7411,1.9221931577258378
d1044709,6.118823416311342,7.0261000000000005,0.9072765836886587
d1044709,4.368065933568311,5.2061,0.838034066431689
d1044709,7.2,8.0061,0.8060999999999989
d1044709,5.4,6.5561,1.1560999999999995
8e610981,7.224956747275377,7.5355,0.3105432527246226
8e610981,3.794733192202056,3.9354999999999998,0.14076680779794382
8e610981,3.794733192202055,4.2955,0.5007668077979446
d1044709,6.378087487640789,6.9161,0.5380125123592112
8e610981,6.708203932499369,6.6855,0.022703932499369195
4e610206,14.512063946937387,13.5174,0.9946639469373864
d1044709,6.462197768561405,5.0461,1.4160977685614053
e63ce2f,12.354756169184402,12.733,0.37824383081559887
d1044709,7.249827584156743,6.6261,0.6237275841567431
4e610206,2.473863375370597,2.8074000000000003,0.33353662462940337
e63ce2f,8.0049984384758,7.343,0.6619984384758002
d10485af,8.85889383614004,7.3411,1.5177938361400392
d1044709,3.7947331922020546,1.8061,1.9886331922020546
4e610206,2.9999999999999982,3.3774,0.37740000000000196
e63ce2f,4.8,4.333,0.46699999999999964
4e610206,6.4899922958351794,5.5974,0.8925922958351791
e63ce2f,8.072174428244226,7.8229999999999995,0.24917442824422675
d1044709,2.9999999999999996,3.7260999999999997,0.7261000000000002
4e610206,4.569463863518345,2.8974,1.6720638635183445
d10485af,9.674709297958257,11.2211,1.5463907020417427
d10485af,10.816653826391969,12.5311,1.7144461736080316
d1044709,3.8418745424597094,4.5861,0.7442254575402907
e63ce2f,6.627216610312357,8.472999999999999,1.845783389687642
d10485af,11.7881296226331,13.3711,1.5829703773669
4e610206,10.057832768544124,10.1674,0.10956723145587688
8e610981,3.0,2.9955,0.0045000000000001705
4e610206,9.985990186255941,8.3074,1.678590186255942
4e610206,2.4738633753705948,2.7974,0.32353662462940536
8e610981,9.693296652842108,7.6555,2.0377966528421076
e63ce2f,11.208925015361643,9.242999999999999,1.9659250153616448
8e610981,3.0,3.2355,0.23550000000000004
d10485af,8.049844718999243,8.9011,0.851255281000757
