Node_x,Node_y,110394ab_실제거리,110394ab_중간값,110394ab_오차율(%),e63ce2f_실제거리,e63ce2f_중간값,e63ce2f_오차율(%),8e610981_실제거리,8e610981_중간값,8e610981_오차율(%),d10485af_실제거리,d10485af_중간값,d10485af_오차율(%),d1044709(식별잘안됨)_실제거리,d1044709(식별잘안됨)_중간값,d1044709(식별잘안됨)_오차율(%),4e610206_실제거리,4e610206_중간값,4e610206_오차율(%),SW_first_team_실제거리,SW_first_team_중간값,SW_first_team_오차율(%),SW_4_실제거리,SW_4_중간값,SW_4_오차율(%),SW_5_실제거리,SW_5_중간값,SW_5_오차율(%),SW_6_실제거리,SW_6_중간값,SW_6_오차율(%),SW_11_실제거리,SW_11_중간값,SW_11_오차율(%),볼링공_실제거리,볼링공_중간값,볼링공_오차율(%)
15,5,24.187,,,26.401,,,13.038,,,1.0,4.69,369.00000000000006,17.804,5.56,68.77106268254325,10.77,6.42,40.389972144846794,26.401,3.24,87.72773758569753,1.0,15.02,1402.0,10.77,12.26,13.834726090993504,17.804,5.74,67.76005392046731,24.187,9.1,62.37648323479556,13.038,8.42,35.41954287467403
15,8,24.187,7.73,68.04068301153512,26.401,,,13.038,,,1.0,4.51,351.0,17.804,3.38,81.01550213435183,10.77,6.42,40.389972144846794,26.401,3.55,86.55353963865005,1.0,14.51,1351.0,10.77,10.42,3.249767873723302,17.804,3.94,77.87014154122669,24.187,9.8,59.482366560549046,13.038,7.79,40.25157232704403
1,1,5.657,1.07,81.08538094396323,15.033,,,7.0,,,19.026,5.67,70.19867549668875,11.662,3.45,70.41673812382095,18.358,10.38,43.45789301666848,15.033,12.0,20.17561364997006,19.026,15.58,18.112057184904863,18.358,16.09,12.354286959363767,11.662,11.95,2.469559252272324,5.657,1.45,74.3680395969595,7.0,9.3,32.85714285714287
1,3,5.657,4.3,23.98797949443168,15.033,,,7.0,5.75,17.857142857142858,19.026,,,11.662,0.9,92.28262733664894,18.358,5.32,71.0208083669245,15.033,11.28,24.965076830971864,19.026,14.37,24.47177546515295,18.358,15.5,15.56814467806951,11.662,10.9,6.534042188303897,5.657,0.68,87.97949443167758,7.0,7.6,8.571428571428566
1,7,18.682,7.96,57.39214216893266,20.518,,,7.071,6.07,14.156413520011307,5.385,1.5,72.14484679665738,12.042,5.15,57.233017771134364,8.246,1.4,83.02207130730051,20.518,11.15,45.65747148844916,5.385,12.58,133.61188486536676,8.246,13.43,62.86684453068153,12.042,9.3,22.770303936223215,18.682,4.45,76.18028048388824,7.071,6.29,11.045113845283549
3,2,22.847,6.56,71.28725872105748,20.591,,,11.18,5.84,47.76386404293381,6.325,5.95,5.928853754940711,12.083,0.05,99.58619548125465,4.123,1.57,61.920931360659715,20.591,10.29,50.02671069884902,6.325,155.42,2357.2332015810275,4.123,14.64,255.08125151588646,12.083,9.9,18.066705288421748,22.847,1.68,92.64673698953911,11.18,8.07,27.817531305903394
3,4,22.847,6.41,71.9438000612772,20.591,,,11.18,5.87,47.49552772808587,6.325,5.01,20.7905138339921,12.083,,,4.123,0.83,79.86902740722775,20.591,10.23,50.318100140838226,6.325,14.62,131.1462450592885,4.123,14.22,244.89449430026679,12.083,9.01,25.432425722088887,22.847,8.07,64.67807589617894,11.18,7.1,36.493738819320214
4,6,22.847,9.08,60.25736420536614,20.591,6.04,70.66679617308533,11.18,6.21,44.45438282647585,6.325,9.29,46.87747035573121,12.083,2.01,83.36505834643715,4.123,1.86,54.887218045112775,20.591,9.71,52.84347530474479,6.325,13.29,110.1185770750988,4.123,12.94,213.84913897647345,12.083,8.34,30.977406273276507,22.847,2.97,87.0004814636495,11.18,6.44,42.39713774597495
5,8,22.847,5.46,76.1018952160021,20.591,,,11.18,,,6.325,1.85,70.75098814229248,12.083,4.99,58.7023090292146,4.123,3.01,26.9949066213922,20.591,8.8,57.26288184158127,6.325,12.72,101.10671936758892,4.123,10.94,165.3407712830463,12.083,6.64,45.04675991061823,22.847,4.99,78.15905808202389,11.18,4.76,57.42397137745975
10,3,22.847,5.09,77.72136385521075,20.591,,,11.18,1.25,88.81932021466905,6.325,7.85,24.110671936758884,12.083,6.04,50.01241413556235,4.123,6.59,59.83507154984233,20.591,6.49,68.48137535816619,6.325,14.81,134.15019762845847,4.123,15.74,281.7608537472714,12.083,6.86,43.226020028138706,22.847,6.05,73.51949927780453,11.18,7.42,33.631484794275494
10,7,14.866,5.48,63.13736041974977,5.385,,,11.662,5.41,53.61001543474533,21.095,6.2,70.60914908746149,5.0,5.48,9.600000000000009,15.033,5.77,61.61777423002728,5.385,5.75,6.778087279480041,21.095,14.01,33.58615785731215,15.033,10.66,29.089336792390068,5.0,5.09,1.7999999999999972,14.866,6.36,57.21781245795776,11.662,5.27,54.81049562682217
10,12,20.0,4.4,78.0,9.487,,,12.042,,,17.029,4.77,71.98896000939574,2.828,3.07,8.557284299858557,8.544,6.57,23.103932584269664,9.487,7.06,25.582375882786977,17.029,10.1,40.68941217922368,8.544,8.72,2.0599250936329603,2.828,3.44,21.640735502121643,20.0,7.69,61.55,12.042,3.19,73.50938382328516
4,3,17.029,,,4.472,1.58,64.66905187835421,17.692,7.02,60.32104906172282,27.785,,,11.402,,,21.378,,,4.472,9.29,107.73703041144897,27.785,15.26,45.0782796472917,21.378,12.41,41.94966788287024,11.402,8.4,26.328714260656017,17.029,,,17.692,4.98,71.8516843771196
4,9,29.206,7.08,75.75840580702594,20.025,3.38,83.1210986267166,18.439,10.52,42.947014480177884,15.0,,,13.601,1.67,87.72149106683332,5.831,,,20.025,8.61,57.00374531835206,15.0,12.27,18.200000000000003,5.831,9.37,60.6928485679986,13.601,7.96,41.47489155209176,29.206,0.83,97.15811819489146,18.439,3.58,80.58463040295027
